"Indicator"|"Country"|"Population"
"Primary"|"Venezuela (Bolivarian Republic of)"|3372960
"Primary"|"Viet Nam"|6598389
"Primary"|"Western Sahara"|"NA"
"Primary"|"Yemen"|3725168
"Primary"|"Zambia"|2602528
"Primary"|"Zimbabwe"|2413877
"Secondary"|"Afghanistan"|4073527
"Secondary"|"Albania"|493419
"Secondary"|"Algeria"|4839242
"Secondary"|"American Samoa"|"NA"
"Secondary"|"Andorra"|"NA"
"Secondary"|"Angola"|2715508
"Secondary"|"Anguilla"|"NA"
"Secondary"|"Antigua and Barbuda"|7942
"Secondary"|"Argentina"|4093814
"Secondary"|"Armenia"|324307
"Secondary"|"Aruba"|7661
"Secondary"|"Australia"|1744380
"Secondary"|"Austria"|754666
"Secondary"|"Azerbaijan"|1075539
"Secondary"|"Bahamas"|37052
"Secondary"|"Bahrain"|82872
"Secondary"|"Bangladesh"|22718785
"Secondary"|"Barbados"|19209
"Secondary"|"Belarus"|712990
"Secondary"|"Belgium"|766955
"Secondary"|"Belize"|40709
"Secondary"|"Benin"|1474529
"Secondary"|"Bermuda"|5612
"Secondary"|"Bhutan"|90617
"Secondary"|"Bolivia"|1364831
"Secondary"|"Bosnia and Herzegovina"|"NA"
"Secondary"|"Botswana"|222197
"Secondary"|"Brazil"|23570777
"Secondary"|"British Virgin Islands"|1989
"Secondary"|"Brunei Darussalam"|48395
"Secondary"|"Bulgaria"|588223
"Secondary"|"Burkina Faso"|2457182
"Secondary"|"Burundi"|1458292
"Secondary"|"Cambodia"|2017769
"Secondary"|"Cameroon"|3270129
"Secondary"|"Canada"|2551701
"Secondary"|"Cabo Verde"|70279
"Secondary"|"Cayman Islands"|"NA"
"Secondary"|"Central African Republic"|678406
"Secondary"|"Chad"|1878636
"Secondary"|"Chile"|1703566
"Secondary"|"China"|119354689
"Secondary"|"China, Hong Kong Special Administrative Region"|583014
"Secondary"|"China, Macao Special Administrative Region"|40750
"Secondary"|"Colombia"|5293353
"Secondary"|"Comoros"|95928
"Secondary"|"Congo"|596306
"Secondary"|"Cook Islands"|2247
"Secondary"|"Costa Rica"|416352
"Secondary"|"Côte d'Ivoire"|2949866
"Secondary"|"Croatia"|394881
"Secondary"|"Cuba"|906472
"Secondary"|"Curaçao"|"NA"
"Secondary"|"Cyprus"|69621
"Secondary"|"Czech Republic"|885553
"Secondary"|"Democratic People's Republic of Korea"|2408660
"Secondary"|"Democratic Republic of the Congo"|8525262
"Secondary"|"Denmark"|421903
"Secondary"|"Djibouti"|131014
"Secondary"|"Dominica"|6980
"Secondary"|"Dominican Republic"|1198835
"Secondary"|"Ecuador"|1735577
"Secondary"|"Egypt"|9023880
"Secondary"|"El Salvador"|892200
"Secondary"|"Equatorial Guinea"|86837
"Secondary"|"Eritrea"|"NA"
"Secondary"|"Estonia"|87368
"Secondary"|"Ethiopia"|10351225
"Secondary"|"Faeroe Islands"|"NA"
"Secondary"|"Falkland Islands (Malvinas)"|"NA"
"Secondary"|"Fiji"|113136
"Secondary"|"Finland"|398052
"Secondary"|"France"|5340933
"Secondary"|"French Guiana"|"NA"
"Secondary"|"French Polynesia"|"NA"
"Secondary"|"Gabon"|235628
"Secondary"|"Gambia"|216388
"Secondary"|"Georgia"|368590
"Secondary"|"Germany"|7545775
"Secondary"|"Ghana"|3704050
"Secondary"|"Gibraltar"|1464
"Secondary"|"Greece"|646777
"Secondary"|"Grenada"|10668
"Secondary"|"Guadeloupe"|"NA"
"Secondary"|"Guam"|"NA"
"Secondary"|"Guatemala"|1675645
"Secondary"|"Guinea"|1635874
"Secondary"|"Guinea-Bissau"|175865
"Secondary"|"Guyana"|81168
"Secondary"|"Haiti"|1536752
"Secondary"|"Holy See"|"NA"
"Secondary"|"Honduras"|894722
"Secondary"|"Hungary"|905304
"Secondary"|"Iceland"|32546
"Secondary"|"India"|165488646
"Secondary"|"Indonesia"|25470936
"Secondary"|"Iran (Islamic Republic of)"|9056095
"Secondary"|"Iraq"|4122656
"Secondary"|"Ireland"|277711
"Secondary"|"Israel"|694805
"Secondary"|"Italy"|4613729
"Secondary"|"Jamaica"|285988
"Secondary"|"Japan"|7180287
"Secondary"|"Jordan"|789353
"Secondary"|"Kazakhstan"|1782861
"Secondary"|"Kenya"|5437433
"Secondary"|"Kiribati"|13633
"Secondary"|"Kuwait"|246407
"Secondary"|"Kyrgyzstan"|790863
"Secondary"|"Lao People's Democratic Republic"|969498
"Secondary"|"Latvia"|149598
"Secondary"|"Lebanon"|515437
"Secondary"|"Lesotho"|249625
"Secondary"|"Liberia"|503554
"Secondary"|"Libya"|673493
"Secondary"|"Liechtenstein"|3007
"Secondary"|"Lithuania"|321428
"Secondary"|"Luxembourg"|42133
"Secondary"|"Madagascar"|3477936
"Secondary"|"Malawi"|2119773
"Secondary"|"Malaysia"|3911017
"Secondary"|"Maldives"|36157
"Secondary"|"Mali"|1787000
"Secondary"|"Malta"|37520
"Secondary"|"Marshall Islands"|5064
"Secondary"|"Martinique"|"NA"
"Secondary"|"Mauritania"|542175
"Secondary"|"Mauritius"|136285
"Secondary"|"Mexico"|13962718
"Secondary"|"Micronesia (Federated States of)"|16182
"Secondary"|"Monaco"|"NA"
"Secondary"|"Mongolia"|301373
"Secondary"|"Montenegro"|70628
