Date|Food|Meat|Dairy|Cereals|Oils|Sugar
8/2013|154.5|137.8|187.0|156.2|137.4|182.6
9/2013|153.9|140.6|189.0|147.3|139.2|186.2
10/2013|156.0|141.5|189.6|148.5|142.0|200.0
11/2013|155.4|140.2|189.4|146.8|149.9|189.3
12/2013|155.7|140.2|199.5|145.7|148.0|177.4
1/2014|153.1|137.2|201.6|144.2|142.0|167.0
2/2014|157.2|137.0|207.5|149.6|149.0|177.3
3/2014|161.1|139.8|202.3|157.4|154.3|191.4
4/2014|159.3|143.4|189.5|157.6|149.9|188.3
5/2014|158.5|146.6|180.0|156.0|147.1|195.3
6/2014|157.4|152.8|178.1|147.7|142.2|194.4
7/2014|153.9|155.1|170.3|139.5|136.4|195.2
8/2014|149.4|159.7|151.3|137.5|125.5|184.1
9/2014|145.1|158.9|141.5|134.2|122.1|171.8
10/2014|145.2|158.4|138.8|134.3|123.3|179.0
11/2014|144.5|156.7|134.1|138.0|124.2|173.3
12/2014|142.1|153.7|131.1|138.6|121.3|165.0
